format,source,accuracy,max_err,mean_err,rmse,memory_bytes
Float32,baseline,98.4,0.0,0.0,0.0,246824.0
"Fixed16 <13,3>",paper,97.2,0.062499736,0.03121726,0.036051642,123412.0
"Ultra-low (1,2)",our test,95.39999999999999,0.12499374,0.06120678,0.07105217,30853.0
INT8,our ext,98.4,0.00241331,0.0009571083,0.0011079444,61706.0
INT4,our ext,97.8,0.043786027,0.017388077,0.02012931,30853.0
